cdt,cthr,cw,cP,cVm,cVa,cn,cF,ceq1,ceq2,ceq3,ceq4,ceq5,ceq6
0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0
