%time,field.header.seq,field.header.stamp,field.value0,field.value1,field.value2,field.value3,field.value4,field.value5,field.value6,field.value7,field.value8,field.value9,field.value10,field.value11
9134000000,58,9132000000,1500,1561,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9140000000,59,9140000000,1500,1564,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9148000000,60,9148000000,1500,1567,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9156000000,61,9156000000,1500,1569,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9166000000,62,9164000000,1500,1572,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9172000000,63,9172000000,1500,1574,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9182000000,64,9180000000,1500,1577,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9188000000,65,9186000000,1500,1578,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9196000000,66,9196000000,1500,1580,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9202000000,67,9202000000,1500,1582,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9210000000,68,9210000000,1500,1590,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9218000000,69,9216000000,1500,1593,1175,1500,1500,1000,1500,1500,1500,1000,1500,0
9226000000,70,9226000000,1500,1603,1185,1500,1500,1000,1500,1500,1500,1000,1500,0
9234000000,71,9234000000,1500,1611,1185,1500,1500,1000,1500,1500,1500,1000,1500,0
9240000000,72,9240000000,1500,1619,1195,1500,1500,1000,1500,1500,1500,1000,1500,0
9248000000,73,9248000000,1500,1630,1195,1500,1500,1000,1500,1500,1500,1000,1500,0
9264000000,74,9256000000,1500,1640,1206,1500,1500,1000,1500,1500,1500,1000,1500,0
9272000000,75,9272000000,1500,1643,1216,1500,1500,1000,1500,1500,1500,1000,1500,0
9280000000,76,9280000000,1500,1645,1216,1500,1500,1000,1500,1500,1500,1000,1500,0
9290000000,77,9290000000,1500,1648,1226,1500,1500,1000,1500,1500,1500,1000,1500,0
9294000000,78,9294000000,1500,1651,1226,1500,1500,1000,1500,1500,1500,1000,1500,0
9302000000,79,9302000000,1500,1652,1247,1500,1500,1000,1500,1500,1500,1000,1500,0
9310000000,80,9310000000,1500,1654,1247,1500,1500,1000,1500,1500,1500,1000,1500,0
9318000000,81,9318000000,1500,1657,1257,1500,1500,1000,1500,1500,1500,1000,1500,0
9334000000,82,9334000000,1500,1657,1267,1500,1500,1000,1500,1500,1500,1000,1500,0
9348000000,83,9346000000,1500,1657,1278,1500,1500,1000,1500,1500,1500,1000,1500,0
9376000000,84,9362000000,1500,1656,1288,1500,1500,1000,1500,1500,1500,1000,1500,0
9376000000,85,9376000000,1500,1654,1288,1500,1500,1000,1500,1500,1500,1000,1500,0
9386000000,86,9386000000,1500,1652,1288,1500,1500,1000,1500,1500,1500,1000,1500,0
9402000000,87,9402000000,1500,1651,1288,1500,1500,1000,1500,1500,1500,1000,1500,0
9410000000,88,9410000000,1500,1648,1288,1500,1500,1000,1500,1500,1500,1000,1500,0
9426000000,89,9426000000,1500,1647,1288,1500,1500,1000,1500,1500,1500,1000,1500,0
9442000000,90,9442000000,1500,1647,1298,1500,1500,1000,1500,1500,1500,1000,1500,0
9458000000,91,9458000000,1500,1644,1298,1500,1500,1000,1500,1500,1500,1000,1500,0
9474000000,92,9474000000,1500,1644,1309,1500,1500,1000,1500,1500,1500,1000,1500,0
9506000000,93,9506000000,1500,1644,1319,1500,1500,1000,1500,1500,1500,1000,1500,0
9554000000,94,9554000000,1500,1644,1329,1500,1500,1000,1500,1500,1500,1000,1500,0
9572000000,95,9570000000,1500,1644,1340,1500,1500,1000,1500,1500,1500,1000,1500,0
9586000000,96,9586000000,1500,1644,1350,1500,1500,1000,1500,1500,1500,1000,1500,0
9618000000,97,9618000000,1500,1644,1360,1500,1500,1000,1500,1500,1500,1000,1500,0
9636000000,98,9634000000,1500,1644,1371,1500,1500,1000,1500,1500,1500,1000,1500,0
9666000000,99,9666000000,1500,1644,1381,1500,1500,1000,1500,1500,1500,1000,1500,0
9698000000,100,9698000000,1500,1647,1391,1500,1500,1000,1500,1500,1500,1000,1500,0
9714000000,101,9714000000,1500,1648,1391,1500,1500,1000,1500,1500,1500,1000,1500,0
9738000000,102,9738000000,1500,1651,1391,1500,1500,1000,1500,1500,1500,1000,1500,0
9746000000,103,9746000000,1500,1651,1401,1500,1500,1000,1500,1500,1500,1000,1500,0
9770000000,104,9770000000,1500,1652,1401,1500,1500,1000,1500,1500,1500,1000,1500,0
9778000000,105,9778000000,1500,1654,1401,1500,1500,1000,1500,1500,1500,1000,1500,0
9786000000,106,9786000000,1500,1656,1401,1500,1500,1000,1500,1500,1500,1000,1500,0
9794000000,107,9794000000,1500,1657,1401,1500,1500,1000,1500,1500,1500,1000,1500,0
